"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/C3:    Active                                    "
"        Satellite/C3_P1_S1:    Active                              "
"        Satellite/C3_P1_S2:    Active                              "
"        Satellite/C3_P1_S3:    Active                              "
"        Satellite/C3_P1_S4:    Active                              "
"        Satellite/C3_P1_S5:    Active                              "
"        Satellite/C3_P1_S6:    Active                              "
"        Satellite/C3_P2_S1:    Active                              "
"        Satellite/C3_P2_S2:    Active                              "
"        Satellite/C3_P2_S3:    Active                              "
"        Satellite/C3_P2_S4:    Active                              "
"        Satellite/C3_P2_S5:    Active                              "
"        Satellite/C3_P2_S6:    Active                              "
"        Satellite/C3_P3_S1:    Active                              "
"        Satellite/C3_P3_S2:    Active                              "
"        Satellite/C3_P3_S3:    Active                              "
"        Satellite/C3_P3_S4:    Active                              "
"        Satellite/C3_P3_S5:    Active                              "
"        Satellite/C3_P3_S6:    Active                              "
"        Satellite/C3_P4_S1:    Active                              "
"        Satellite/C3_P4_S2:    Active                              "
"        Satellite/C3_P4_S3:    Active                              "
"        Satellite/C3_P4_S4:    Active                              "
"        Satellite/C3_P4_S5:    Active                              "
"        Satellite/C3_P4_S6:    Active                              "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-39.753,60.324,8.691
-39.753,60.972,8.688
-39.753,61.620,8.689
-39.753,62.269,8.688
-39.753,62.917,8.688
-39.753,63.565,8.690
-39.753,64.213,8.695
-39.753,64.861,8.693
-39.753,65.509,8.693
-39.753,66.157,8.689
-39.753,66.806,8.684
-39.753,67.454,8.693
-39.753,68.102,8.684
-39.753,68.750,8.693
-39.753,69.398,8.684
-39.753,70.046,8.693
-39.753,70.694,8.684
-39.753,71.343,8.692
-39.753,71.991,8.684
-39.753,72.639,8.692
-39.753,73.287,8.685
-39.753,73.935,8.691
-39.753,74.583,8.685
-39.753,75.231,8.690
-39.753,75.880,8.685
-39.753,76.528,8.696
-39.753,77.176,8.687
-39.753,77.824,8.695
-39.753,78.472,8.690
-39.753,79.120,8.694
-39.753,79.769,8.686
-39.753,80.417,8.693
-39.753,81.065,8.689
-39.753,81.713,8.691
-39.753,82.361,8.690
-39.753,83.009,8.686
-39.753,83.657,8.690
-39.753,84.306,8.687
-39.753,84.954,8.691
-39.753,85.602,8.687
-39.753,86.250,8.693
-39.753,86.898,8.687
-39.753,87.546,8.690
-39.753,88.194,8.686
-39.753,88.843,8.694
-39.753,89.491,8.683
-39.753,90.139,8.694
-39.753,90.787,8.683
-39.753,91.435,8.694
-39.753,92.083,8.682
-39.753,92.731,8.694
-39.753,93.380,8.683
-39.753,94.028,8.693
-39.753,94.676,8.687
-39.259,60.324,8.625
-39.259,60.972,8.617
-39.259,61.620,8.626
-39.259,62.269,8.630
-39.259,62.917,8.626
-39.259,63.565,8.624
-39.259,64.213,8.628
-39.259,64.861,8.624
-39.259,65.509,8.629
-39.259,66.157,8.624
-39.259,66.806,8.629
-39.259,67.454,8.624
-39.259,68.102,8.629
-39.259,68.750,8.621
-39.259,69.398,8.631
-39.259,70.046,8.623
-39.259,70.694,8.628
-39.259,71.343,8.624
-39.259,71.991,8.627
-39.259,72.639,8.621
-39.259,73.287,8.628
-39.259,73.935,8.622
-39.259,74.583,8.631
-39.259,75.231,8.623
